7720,0,1740,0,0,31,6,1
6197,0,1732,0,0,28,21,0
2321,0,696,0,0,36,1,0
2643,0,841,0,0,36,2,0
4918,50,1240,0,0,68,21,2
3452,0,479,0,0,14,4,0
5159,50,1394,0,0,46,23,1
5604,0,1407,0,0,77,20,1
3030,0,533,0,0,45,11,0
4803,50,1407,0,0,16,22,0
4987,60,1456,0,0,45,26,1
5016,50,1447,0,0,66,15,1
5139,0,1311,0,0,113,37,1
3517,0,616,0,0,9,1,0
6833,0,969,0,0,86,13,0
5298,0,1239,0,0,37,21,0
4931,60,1634,0,0,171,61,1
4620,40,1288,0,0,94,26,1
4580,0,1158,0,0,179,25,0
1628,0,373,0,0,9,2,0
5324,30,1322,0,0,90,22,3
1920,0,454,0,0,37,10,0
3326,30,854,0,0,75,41,0
1263,0,206,0,0,4,3,0
5171,0,1001,0,0,13,2,0
4979,30,1321,0,0,85,22,1
7360,0,1734,0,0,88,22,0
2067,20,499,0,0,47,11,0
2407,30,656,0,0,52,21,0
4688,30,1171,0,0,139,28,0
3385,0,931,0,0,112,16,0
3833,30,982,2,0,102,15,3
1816,333,501,0,0,337,0,0
4328,55,1032,0,0,78,39,1
5213,10,1423,0,0,72,7,1
4252,10,1202,0,0,79,34,2
6042,10,1243,0,0,61,18,0
4323,0,862,0,0,18,3,1
4725,0,989,0,0,7,1,1
4425,130,750,0,0,25,5,0
5017,0,627,0,0,4,1,0
4227,130,1192,0,0,62,12,1
4465,130,1318,0,0,47,26,0
6668,120,1191,0,0,75,15,1
4699,1,288,0,0,10,0,0
5838,120,1582,0,0,53,13,0
5706,0,1263,0,0,19,2,2
4863,0,1166,0,0,40,5,0
4633,120,1090,0,0,38,7,0
5022,120,1026,0,0,46,5,1
4783,120,1337,0,0,80,7,0
4036,0,690,0,0,20,8,0
5322,120,1508,0,0,76,19,0
4784,120,900,0,0,29,13,0
5040,110,1260,0,0,53,18,2
4856,0,685,0,0,14,6,0
4733,0,1317,0,0,44,13,1
4327,0,757,0,0,19,2,0
3664,0,656,0,0,13,7,0
5206,100,1405,0,0,43,1,0
3780,0,1232,0,0,40,29,1
2695,0,674,0,0,37,10,0
3083,0,699,0,0,36,7,0
3913,0,1010,0,0,52,5,0
1774,0,368,0,0,13,3,0
4778,100,1172,0,0,45,8,0
4194,0,761,0,0,15,4,0
6218,0,1819,0,0,55,9,2
4845,80,1309,0,0,43,20,0
5525,0,1132,0,0,49,4,0
4548,0,1401,0,0,41,25,2
2394,0,1143,0,0,28,12,1
5702,0,1404,0,0,74,10,0
4686,0,1300,0,0,71,25,0
3239,0,1089,0,0,59,0,1
4504,0,1360,0,0,62,11,1
4232,0,915,0,0,59,2,0
5374,0,1367,0,0,45,14,1
6258,0,1212,0,0,52,8,1
6173,0,1479,0,0,45,12,0
4776,10,1725,0,0,40,28,0
3863,0,1041,0,0,53,7,0
3607,0,578,0,0,11,1,2
4451,1,764,0,0,22,2,1
2319,0,426,0,0,15,2,1
4229,0,640,0,0,14,3,0
4816,0,1062,0,0,27,3,1
4436,0,420,0,0,14,0,1
5651,0,1051,0,0,53,0,0
5645,0,1475,0,0,52,10,1
5099,0,1326,0,0,35,8,0
4804,0,1582,0,0,56,24,1
4299,0,1137,0,0,40,4,0
4091,0,945,0,0,34,7,1
3963,0,710,0,0,13,2,0
3036,0,647,0,0,26,0,1
4159,10,1061,0,0,50,5,2
4152,1,506,0,0,14,0,5
3383,0,717,0,0,48,3,1
3196,0,641,0,0,24,2,0
5358,0,1083,0,0,67,4,0
2386,0,592,0,0,16,4,0
4317,0,1030,0,0,47,6,0
2052,0,268,0,0,13,0,1
2607,0,561,0,0,19,1,0
5656,0,1349,0,0,49,4,0
1510,0,443,0,0,12,4,0
5946,0,1262,0,0,52,1,0
3440,0,948,0,0,23,9,2
4054,0,827,0,0,56,3,0
5220,0,1358,0,0,25,10,0
1967,0,1573,0,0,12,1,2
1826,0,388,0,0,13,1,0
1023,0,151,0,0,8,0,0
5789,10,1358,0,0,55,4,0
5406,0,1339,0,0,40,5,0
3783,0,936,0,0,31,3,0
6059,0,1103,0,0,59,0,0
5320,10,1501,0,0,11,8,2
0,0,0,0,0,0,0,0
2308,0,539,0,0,12,0,0
5073,0,1251,0,0,19,3,0
976,0,154,0,0,2,1,0
2168,0,470,0,0,9,0,2
6791,20,1365,0,0,15,1,0
4334,0,1261,0,0,14,6,0
4977,0,1328,0,0,10,3,0
1394,0,276,0,0,0,1,0
4614,0,820,0,0,16,0,0
3464,0,648,0,0,15,0,0
6271,0,1380,0,0,8,5,0
5548,0,1573,0,0,31,15,1
5810,0,1703,0,0,24,3,1
5024,0,1084,0,0,6,5,1
2683,0,523,0,0,11,1,0
5275,0,1164,0,0,10,5,0
6267,0,1314,0,0,16,2,0
5727,10,1317,0,0,25,18,1
5767,0,1345,0,0,13,12,0
3589,0,738,0,0,15,1,0
3523,0,523,0,0,7,1,0
2056,0,462,0,0,7,3,0
3308,0,747,0,0,9,5,2
933,0,144,0,0,4,0,0
4296,10,971,0,0,16,3,7
2848,10,626,0,0,17,5,0
2467,0,535,0,0,8,34,0
1327,0,319,0,0,3,5,0
2927,0,749,0,0,9,5,1
1295,0,116,0,0,2,0,1
5832,10,1464,0,0,31,38,0
5764,0,1347,0,0,14,5,0
6155,0,1675,0,0,16,8,0
5526,0,1375,0,0,33,43,1
4304,0,789,0,0,16,4,1
6912,0,1394,0,0,5,5,1
4692,0,1112,0,0,31,7,0
2069,0,537,0,0,10,2,0
4056,0,1153,0,0,29,25,1
1803,0,414,0,0,16,2,0
6145,0,1634,0,0,35,4,1
6458,0,1702,0,0,32,22,0
6538,0,1764,0,0,28,37,0
7808,10,1780,0,0,22,4,2
7334,10,2044,0,0,22,24,0
7256,0,2663,0,0,88,23,0
4903,0,1620,0,0,39,14,0
6514,10,1465,0,0,31,12,0
4488,0,765,0,0,23,9,0
4542,0,1158,0,0,43,15,0
2554,0,694,0,0,12,6,0
2487,0,788,0,0,20,8,0
1845,0,472,0,0,8,9,0
478,0,122,0,0,8,2,1
5624,0,1568,0,0,32,15,0
5628,0,1656,0,0,42,48,2
5242,0,1416,0,0,45,33,1
5376,0,1533,0,0,29,11,1
3599,0,1139,0,0,30,12,0
2995,0,351,0,0,3,0,1
2886,50,737,0,0,55,2,0
4793,10,1256,0,0,24,12,0
5598,0,1214,0,0,34,14,0
5194,2,976,0,0,20,6,0
4715,0,857,0,0,15,5,0
4974,0,2086,0,0,50,12,1
3622,0,1039,0,0,16,5,2
5237,0,1565,0,0,48,23,0
2570,2,605,0,0,18,4,0
8368,11,2004,0,0,33,14,2
