2615,0,358,0,0,15
5994,0,546,0,0,22
2716,0,342,0,0,7
3541,0,388,0,0,9
6515,0,697,0,0,33
4213,0,404,11,0,14
443,0,86,0,0,0
4129,0,519,2,0,30
2160,0,246,0,0,10
0,0,0,0,0,0
5174,0,607,0,0,59
3092,0,52,4,0,10
4078,0,587,0,0,19
5521,0,577,1,0,35
2817,0,138,0,0,6
3013,0,175,1,0,15
4433,0,470,0,0,25
443,0,48,0,0,1
3341,0,137,2,0,44
4759,0,669,0,0,2
64,0,9,0,0,3
6126,0,453,0,0,66
4363,0,371,0,0,52
1892,0,223,3,0,4
3730,0,337,2,0,8
3925,0,425,0,0,49
2029,0,131,0,0,18
4973,0,485,1,0,49
4535,0,454,1,0,48
4392,0,324,0,0,40
8128,0,1176,0,0,38
2690,0,182,5,0,14
3406,0,265,0,0,4
3194,0,271,0,0,6
3207,0,357,0,0,1
4467,0,679,0,0,7
976,0,74,0,0,1
0,0,0,0,0,0
985,0,126,0,0,27
919,0,125,2,0,6
1883,0,163,2,0,8
579,0,44,0,0,2
9050,0,1127,0,0,17
3993,0,306,4,0,19
665,0,50,0,0,2
4669,0,430,2,0,40
6356,1,679,0,0,13
4379,0,396,0,0,17
4327,0,394,2,0,12
4215,0,432,0,0,16
3063,0,281,6,0,10
4295,0,442,0,0,2
3072,0,305,0,0,14
1940,0,258,0,0,3
2385,0,324,0,0,8
0,0,0,0,0,0
2390,0,300,2,0,6
649,0,67,0,0,2
857,0,94,0,0,9
1555,0,188,0,0,7
2842,0,383,1,0,3
6852,0,1717,0,0,3
2,0,0,0,0,0
12113,0,438,0,0,7
5067,0,610,0,0,12
4353,0,563,0,0,8
3601,0,299,0,0,1
4121,0,437,1,0,14
3228,0,317,1,0,9
1418,0,231,0,0,3
2162,0,264,0,0,3
3866,0,403,1,0,4
1317,0,171,0,0,4
1659,0,398,1,0,12
81,0,6,0,0,0
3829,0,519,0,0,7
4327,0,454,0,0,6
376,0,33,0,0,4
681,0,37,0,0,0
338,0,45,0,0,1
2963,0,326,0,0,2
1333,0,105,0,0,5
4251,0,487,1,0,6
645,0,83,0,0,1
